R_squared,P_values,Betas
-2.220446049250313e-16,[6.15756789e-78],[1245.85401827]
4.440892098500626e-16,[4.82815324e-109],[1344.14966778]
-2.220446049250313e-16,[1.03406465e-112],[1404.50042844]
0.0,[1.11816513e-109],[1408.35656978]
0.0,[1.60106503e-110],[1382.75461713]
-2.220446049250313e-16,[1.76659425e-112],[1380.74459779]
0.0,[4.00167571e-102],[1310.11984672]
-2.220446049250313e-16,[6.88925819e-98],[1139.46953987]
0.0,[6.94002227e-100],[1047.60418222]
-4.440892098500626e-16,[4.77681756e-112],[1077.58466175]
0.0,[4.19423027e-111],[1092.07687557]
-2.220446049250313e-16,[1.13521874e-115],[1061.94547047]
0.0,[3.23218232e-115],[1050.54639869]
1.1102230246251565e-16,[3.25544202e-114],[1089.04996745]
2.220446049250313e-16,[6.32808533e-106],[1114.38828173]
0.0,[8.1457284e-111],[1105.73549757]
0.0,[7.98817703e-102],[1380.61306583]
